Ancien nom;Libellé;Code;Type;Description /role;OS;VLAN;Adresse IP;Adresse IP2;Adresse IP3;Adresse IP4;Adresse IP5;Adresse IP6;Adresse IP7;Adresse IP8;Adresse IP9;Adresse IP10;Adresse IP11;Virtualisation;Cluster;Site d'hébergement;Statut;Version Oracle;Supervisé;Type Serveur;Service BDD ;1_Code Appli;2_Libellé Appli
SRV-PREPROD-WD1;SRV-PREPROD-WD1;SRVR0103;Serveur Virtuel;;Linux Centos 8 (64b);VLAN72 SI;172.16.22.31;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRE;;;
CONSOLE_ALEX;CONSOLE-ALEX;SRVP0108;Serveur Virtuel;console;Microsoft Windows 10 (64b);VLAN72 SI;172.16.40.7;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Non;PRD;;;console
CONSOLE_SAI.CG72.FR;CONSOLE-SAI.CG72.FR;SRVP0109;Serveur Virtuel;console;Microsoft Windows 10 (64b);VLAN72 SI;172.16.40.3;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Non;PRD;;;console
Console-GRH;CONSOLE-GRH;SRVP0110;Serveur Virtuel;console  win10 deportée paye;Microsoft Windows 10 (64b);VLAN72 SI;172.16.40.78;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Non;PRD;;APPL041;CEGID RH
grh;GRH;SRVP0111;Serveur Virtuel;uniquement partage de fichier a migrer et decommissionner;Microsoft Windows Server 2003 (32b);VLAN72 SI;172.16.20.20;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL041;CEGID RH
srv-app-asg01;SRV-APP-ASG01;SRVP0112;Serveur Virtuel;aide sociale;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.80;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL154;SOLIS - ASG?
srv-app-ast;SRV-APP-AST;SRVP0113;Serveur Virtuel;ancien serveur Solis AST - ?;Microsoft Windows Server 2008 (32b);VLAN72 SI;172.16.20.25;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL155;SOLIS - AST (ASE-AFI-PAIE-IP-AGREMENT-FSL)?
srv-app-clog;SRV-APP-CLOG;SRVP0114;Serveur Virtuel;supprimé;Microsoft Windows Server 2003 (32b);VLAN72 SI;172.16.20.98;;;;;;;;;;;VMWARE;LAN;Virtuel;hors tension;NA;Oui;PRD;;;handicap Franck HERARD? Gestion de processus
srv-app-dec;SRV-APP-DEC;SRVP0115;Serveur Virtuel;à supprimer?;Microsoft Windows Server 2003 (32b);VLAN72 SI;172.16.20.8;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Non;PRD;;;Décisionnel JFB
srv-app-divers;SRV-APP-DIVERS;SRVP0116;Serveur Virtuel;script referentiels / divers;Microsoft Windows Server 2003 (32b);VLAN72 SI;172.16.20.149;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL268;Référentiel RH des agents?
srv-app-etl;SRV-APP-ETL;SRVP0117;Serveur Virtuel;script non migrés vers prd-etl;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.6;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL188;TALEND
srv-app-grh;SRV-APP-GRH;SRVP0118;Serveur Virtuel;EKSAE serveur appli GRH;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.96;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL041;CEGID RH
